Cell Type,Gene Number,Network Type,AUPR,AUROC
hESC,500,STRING,0.4616714547818185,0.8896087611303078
hESC,500,Cellspecific,0.474206230266162,0.819650941991889
hESC,500,Nonspecific,0.04381075333982768,0.7059754811007651
hESC,1000,STRING,0.5441867789845215,0.8710898600793096
hESC,1000,Cellspecific,0.46126585258987024,0.8161758941853857
hESC,1000,Nonspecific,0.0502336931498666,0.6926189532077962
hHEP,500,STRING,0.3481011413240157,0.8531351393114507
hHEP,500,Cellspecific,0.7365306462598659,0.8921432898193993
hHEP,500,Nonspecific,0.044661783905697416,0.7255590531858493
hHEP,1000,STRING,0.41743903908698066,0.8376527999157293
hHEP,1000,Cellspecific,0.7950560285543541,0.9109855612430693
hHEP,1000,Nonspecific,0.0370516056503056,0.7087185948142095
mESC,500,STRING,0.24925810817045002,0.865486971581025
mESC,500,Cellspecific,0.7121112032032221,0.841598469400015
mESC,500,Nonspecific,0.03929420834406343,0.7363849488973263
mESC,500,LOFGOF,0.7039263696389823,0.885368108390985
mESC,1000,STRING,0.3765861031245175,0.8756469088858382
mESC,1000,Cellspecific,0.7518390179824215,0.8649191939754791
mESC,1000,Nonspecific,0.05557926062978684,0.7355632078881522
mESC,1000,LOFGOF,0.7741922401303691,0.9218478095380929
mDC,500,STRING,0.49984610267944457,0.8532219124470818
mDC,500,Cellspecific,0.37321232412201655,0.62485254797106
mDC,500,Nonspecific,0.23405223341909373,0.7643626388805382
mDC,1000,STRING,0.4802616718843474,0.8540604166460292
mDC,1000,Cellspecific,0.38407819393231246,0.629181587911608
mDC,1000,Nonspecific,0.21070521367064599,0.7874522798419253
